td,actual,pred,residual,resid_ratio
2023-08-26,1439.0,1813.8552753156614,-374.8552753156614,0.7933378255602966
2023-08-27,2206.0,3159.273823773138,-953.2738237731378,0.6982617281858026
2023-08-28,2070.0,3278.8819318996866,-1208.8819318996866,0.631312759346813
2023-08-29,3492.0,4718.0864677772,-1226.0864677771997,0.7401305643398186
2023-08-30,5040.0,5830.421265468541,-790.4212654685407,0.8644315342786777
2023-08-31,9594.0,8146.708760953413,1447.2912390465872,1.1776534894659976
2023-09-01,8386.0,10955.29245484969,-2569.2924548496903,0.7654747725413469
2023-09-02,12628.0,12151.669289107514,476.3307108924855,1.0391987882125346
2023-09-03,9191.0,11716.967442236764,-2525.9674422367643,0.7844179857382485
2023-09-04,2240.0,9040.530027110235,-6800.530027110235,0.2477730833571498
2023-09-05,10192.0,8025.015622468175,2166.984377531825,1.2700286802513845
2023-09-06,6356.0,7764.51133041536,-1408.5113304153601,0.8185962682676629
2023-09-07,5663.0,9147.471201153256,-3484.4712011532556,0.6190781993701215
2023-09-08,8624.0,10400.881076456835,-1776.8810764568352,0.8291605236715054
2023-09-09,12768.0,12563.447785741611,204.55221425838863,1.0162815349533698
2023-09-10,10780.0,10603.299453069996,176.70054693000384,1.0166646757183533
2023-09-11,3444.0,8566.865033337084,-5122.865033337084,0.4020140374101873
2023-09-12,8470.0,9444.076758199577,-974.076758199577,0.896858445442657
2023-09-13,8022.0,7870.814268393177,151.18573160682263,1.0192083978164672
2023-09-14,12740.0,8679.153863172414,4060.8461368275857,1.467885026679693
2023-09-15,13741.0,10713.119443324407,3027.8805566755927,1.2826329504393172
2023-09-16,13160.0,13192.178620363415,-32.178620363414666,0.9975607804222918
2023-09-17,8988.0,11206.50957799807,-2218.5095779980693,0.8020338480454515
2023-09-18,10500.0,9312.173000201064,1187.8269997989355,1.127556371619523
2023-09-19,17255.0,8775.905716801137,8479.094283198863,1.966178826074437
2023-09-20,13062.0,8397.400051489425,4664.599948510575,1.5554814490091164
2023-09-21,9919.0,10205.550995870966,-286.5509958709663,0.9719220455625668
2023-09-22,13307.0,12554.765566197228,752.2344338027724,1.0599162469292225
2023-09-23,20755.0,14581.44050817905,6173.55949182095,1.4233847464081526
2023-09-24,12838.0,11685.474450127444,1152.5255498725564,1.0986289050385958
2023-09-25,3381.0,11442.412398571643,-8061.412398571643,0.29547964906614016
2023-09-26,6377.0,10292.332666422426,-3915.332666422426,0.6195874352958143
2023-09-27,4613.0,9917.165133394074,-5304.165133394074,0.4651530894112717
2023-09-28,19992.0,11246.976020532404,8745.023979467596,1.7775444673752963
2023-09-29,26453.0,12679.5730122731,13773.4269877269,2.086268991423845
2023-09-30,22309.0,16796.70430706024,5512.295692939759,1.3281772181119333
2023-10-01,23324.0,13865.686984280423,9458.313015719577,1.6821380741136376
2023-10-02,24038.0,13955.530278561346,10082.469721438654,1.72247127269162
2023-10-03,17892.0,12047.4855155707,5844.514484429301,1.485123180009272
2023-10-04,7091.0,9530.244358124284,-2439.244358124284,0.7440522754230439
2023-10-05,9562.0,12573.079304023491,-3011.079304023491,0.7605137746120857
2023-10-06,13265.0,15066.193416567816,-1801.1934165678158,0.8804480092106676
2023-10-07,22386.0,18147.13697489285,4238.863025107152,1.2335830181351337
2023-10-08,26565.0,17168.17032800436,9396.829671995642,1.5473401936528863
2023-10-09,22694.0,16694.34011232269,5999.65988767731,1.3593828715187577
2023-10-10,12908.0,11942.59431278306,965.4056872169404,1.0808371834404182
2023-10-11,15183.0,10392.875248135133,4790.124751864867,1.4609046714694658
2023-10-12,18725.0,12938.33092458556,5786.66907541444,1.447250044008269
2023-10-13,27867.0,16862.556856690677,11004.443143309323,1.6525963551573148
2023-10-14,19908.0,20774.69740874027,-866.6974087402705,0.9582811055348688
2023-10-15,22855.0,18370.93821557363,4484.061784426369,1.2440845280631931
2023-10-16,7882.0,16285.496827833342,-8403.496827833342,0.4839889186880053
2023-10-17,20951.0,13098.010946264194,7852.989053735806,1.5995558475216904
2023-10-18,26439.0,11596.466274682056,14842.533725317944,2.279918672960129
2023-10-19,20104.0,15623.080137837935,4480.919862162065,1.2868141123663324
2023-10-20,21840.0,19463.95351777537,2376.0464822246286,1.1220741962856988
2023-10-21,22764.0,19966.51710565101,2797.4828943489883,1.1401087069690903
2023-10-22,25977.0,19359.63033793478,6617.369662065219,1.3418128108106808
2023-10-23,23289.0,13629.26933781845,9659.73066218155,1.7087489741931918
2023-10-24,22435.0,14569.830861944807,7865.169138055193,1.539825699596717
2023-10-25,26152.0,14395.235649824783,11756.764350175217,1.816712184237034
2023-10-26,22680.0,16622.41363282267,6057.5863671773295,1.3644227908765307
2023-10-27,23534.0,18897.905641171474,4636.094358828526,1.2453231827302709
2023-10-28,26054.0,21136.73728678661,4917.262713213389,1.232640574867123
2023-10-29,26565.0,22255.151270895774,4309.848729104226,1.1936562316132373
2023-10-30,23436.0,17931.01703833322,5504.982961666781,1.30700896384729
2023-10-31,23513.0,15701.358211703198,7811.641788296802,1.4975137617377776
2023-11-01,24955.0,16077.461184175681,8877.538815824319,1.552172927934796
2023-11-02,28826.0,16759.633718759116,12066.366281240884,1.7199659899329995
2023-11-03,28623.0,19244.4513518522,9378.5486481478,1.4873378033323434
2023-11-04,25690.0,22348.333033111907,3341.666966888093,1.1495264529097982
2023-11-05,19733.0,22059.57326597786,-2326.5732659778587,0.8945322632525219
2023-11-06,15918.0,18452.440991550393,-2534.440991550393,0.862650096390448
2023-11-07,22750.0,16674.061996031898,6075.938003968102,1.3643945911568554
2023-11-08,22050.0,16647.673037715726,5402.3269622842745,1.3245094344443915
2023-11-09,25109.0,16348.025791458767,8760.974208541233,1.5359041097866701
2023-11-10,19460.0,19338.19114622044,121.80885377955929,1.0062988752597664
2023-11-11,19306.0,21264.438925657076,-1958.4389256570757,0.9079007476988222
2023-11-12,16653.0,20004.193736463727,-3351.193736463727,0.8324754408694235
2023-11-13,11767.0,16375.746227439615,-4608.746227439615,0.7185626741261364
2023-11-14,12131.0,16160.79047970595,-4029.790479705949,0.7506439747012132
2023-11-15,11487.0,16973.36447041539,-5486.3644704153885,0.6767662368896789
2023-11-16,8918.0,19407.805958177825,-10489.805958177825,0.4595058307578679
2023-11-17,10892.0,20072.76693453014,-9180.76693453014,0.5426257394172728
